name,employer,location,min_selary,max_selary,money_type,href,employer_id,source
Программист C/С++,АО Синтелс,"Москва, Юго-Западная и еще 1 ",,70000,руб,https://izhevsk.hh.ru/vacancy/37591250?query=C%2B%2B%20Developer,https://izhevsk.hh.ru/employer/1060997,https://hh.ru/
Инженер-программист C++ (Qt) Junior,ООО Специальный Технологический Центр,Санкт-Петербург,40000,,руб,https://izhevsk.hh.ru/vacancy/37587973?query=C%2B%2B%20Developer,https://izhevsk.hh.ru/employer/2519536,https://hh.ru/
"C/C++ developer (runtime, toolchain)", HUAWEI,Москва,,,,https://izhevsk.hh.ru/vacancy/37507961?query=C%2B%2B%20Developer,https://izhevsk.hh.ru/employer/2873,https://hh.ru/
Backend-разработчик / Python developer,ООО Эктострой,Воронеж,,70000,руб,https://izhevsk.hh.ru/vacancy/37389795?query=C%2B%2B%20Developer,https://izhevsk.hh.ru/employer/1642679,https://hh.ru/
Spice Simulator (Verilog-A Developer)," Silvaco, Inc","Москва, Белорусская",,,,https://izhevsk.hh.ru/vacancy/37581423?query=C%2B%2B%20Developer,https://izhevsk.hh.ru/employer/2503542,https://hh.ru/
Spice Simulator (Verilog-A Developer)," Silvaco, Inc",Новосибирск,,,,https://izhevsk.hh.ru/vacancy/37581421?query=C%2B%2B%20Developer,https://izhevsk.hh.ru/employer/2503542,https://hh.ru/
Программист С++,ООО Центр Смис Базис,"Москва, Павелецкая",100000,,руб,https://izhevsk.hh.ru/vacancy/37532282?query=C%2B%2B%20Developer,https://izhevsk.hh.ru/employer/3497207,https://hh.ru/
Python Developer, Meriterra,"Нижний Новгород, Горьковская",,,,https://izhevsk.hh.ru/vacancy/37566005?query=C%2B%2B%20Developer,https://izhevsk.hh.ru/employer/644208,https://hh.ru/
C++ Разработчик (Win), CQG,Зеленоград,,,,https://izhevsk.hh.ru/vacancy/34665728?query=C%2B%2B%20Developer,https://izhevsk.hh.ru/employer/6198,https://hh.ru/
PHP Developer, B2Broker Санкт-Петербург,"Санкт-Петербург, Петроградская",,120000,руб,https://izhevsk.hh.ru/vacancy/36901867?query=C%2B%2B%20Developer,https://izhevsk.hh.ru/employer/2234168?dpt=2234168-2234168-spb,https://hh.ru/
Junior C++ разработчик алгоритмов геометрического моделирования,ЗАО Ледас,Новосибирск,,35000,руб,https://izhevsk.hh.ru/vacancy/37550112?query=C%2B%2B%20Developer,https://izhevsk.hh.ru/employer/2134970,https://hh.ru/
Менеджер проектов, Вест Медика,Пермь,,100000,руб,https://izhevsk.hh.ru/vacancy/37553524?query=C%2B%2B%20Developer,https://izhevsk.hh.ru/employer/1296365,https://hh.ru/
Deep learning Engineer,ООО Биганто,"Москва, Третьяковская и еще 2 ",170000,,руб,https://izhevsk.hh.ru/vacancy/37084449?query=C%2B%2B%20Developer,https://izhevsk.hh.ru/employer/2743658,https://hh.ru/
Программист С++,ООО Аутомотив Солюшенз Груп,Воронеж,,,,https://izhevsk.hh.ru/vacancy/37672398?query=C%2B%2B%20Developer,https://izhevsk.hh.ru/employer/3870850,https://hh.ru/
Unreal Engine Developer (C++/Blueprints) / Unreal-разработчик / программист Unreal, ICVR,Москва,1500,,USD,https://izhevsk.hh.ru/vacancy/37688591?query=C%2B%2B%20Developer,https://izhevsk.hh.ru/employer/4455963,https://hh.ru/
Программист микроконтроллеров,ООО Нова,Москва,,,,https://izhevsk.hh.ru/vacancy/37620705?query=C%2B%2B%20Developer,https://izhevsk.hh.ru/employer/3598220,https://hh.ru/
"Ведущий разработчик/разработчик C++/Qt (GUI Team, VMS)", NetworkOptix,"Москва, Комсомольская и еще 1 ",4000,,USD,https://izhevsk.hh.ru/vacancy/28163901?query=C%2B%2B%20Developer,https://izhevsk.hh.ru/employer/899854,https://hh.ru/
Computer Vision / Deep Learning Engeener,ООО Инлайн Профешнл,"Санкт-Петербург, Петроградская",,,,https://izhevsk.hh.ru/vacancy/37580811?query=C%2B%2B%20Developer,https://izhevsk.hh.ru/employer/2857351,https://hh.ru/
"Junior fullstack программист (JavaScript, PostgreSQL)", ПроНетКом,"Москва, Марксистская и еще 2 ",,55000,руб,https://izhevsk.hh.ru/vacancy/37334840?query=C%2B%2B%20Developer,https://izhevsk.hh.ru/employer/680347,https://hh.ru/
Программист С++,ООО Основа Лаб,Москва,,,,https://izhevsk.hh.ru/vacancy/37169516?query=C%2B%2B%20Developer,https://izhevsk.hh.ru/employer/37471,https://hh.ru/
Software Engineer (C/C++),ООО SimLabs,"Санкт-Петербург, Горьковская и еще 2 ",,,,https://izhevsk.hh.ru/vacancy/37396115?query=C%2B%2B%20Developer,https://izhevsk.hh.ru/employer/1712446,https://hh.ru/
Программист С++ (Linux),ООО РДП.РУ,"Москва, Славянский бульвар",,,,https://izhevsk.hh.ru/vacancy/37576095?query=C%2B%2B%20Developer,https://izhevsk.hh.ru/employer/1710349,https://hh.ru/
IOS (Swift) разработчик,ООО Сибекст,Новосибирск,,150000,руб,https://izhevsk.hh.ru/vacancy/37577963?query=C%2B%2B%20Developer,https://izhevsk.hh.ru/employer/2204074,https://hh.ru/
ETL/BI junior разработчик, DBI,Ростов-на-Дону,,,,https://izhevsk.hh.ru/vacancy/37022659?query=C%2B%2B%20Developer,https://izhevsk.hh.ru/employer/77301,https://hh.ru/
C++ Developer, 101XP,"Москва, Строгино",,,,https://izhevsk.hh.ru/vacancy/36863698?query=C%2B%2B%20Developer,https://izhevsk.hh.ru/employer/626544,https://hh.ru/
Backend developer, Ton Labs,Санкт-Петербург,200000,,руб,https://izhevsk.hh.ru/vacancy/37280290?query=C%2B%2B%20Developer,https://izhevsk.hh.ru/employer/1641438,https://hh.ru/
Разработчик на Unreal, JetStyle,Екатеринбург,,,,https://izhevsk.hh.ru/vacancy/36702127?query=C%2B%2B%20Developer,https://izhevsk.hh.ru/employer/4515,https://hh.ru/
Senior Software Developer C++, CQG,Зеленоград,,,,https://izhevsk.hh.ru/vacancy/34789293?query=C%2B%2B%20Developer,https://izhevsk.hh.ru/employer/6198,https://hh.ru/
Программист на LabView, ФОРМ,Москва,,80000,руб,https://izhevsk.hh.ru/vacancy/37597627?query=C%2B%2B%20Developer,https://izhevsk.hh.ru/employer/22508,https://hh.ru/
C# Разработчик под Mac, Photo Lab,"Новосибирск, Заельцовская",100000,,руб,https://izhevsk.hh.ru/vacancy/37568502?query=C%2B%2B%20Developer,https://izhevsk.hh.ru/employer/948093,https://hh.ru/
Инженер-программист микроконтроллеров,ООО Экзакто,Санкт-Петербург,,30000,руб,https://izhevsk.hh.ru/vacancy/37450036?query=C%2B%2B%20Developer,https://izhevsk.hh.ru/employer/4692843,https://hh.ru/
Middle/Senior Программист Unreal Engine/C++ (Можно удаленно),ООО Лайка Интеллект,Калининград,,,,https://izhevsk.hh.ru/vacancy/37244247?query=C%2B%2B%20Developer,https://izhevsk.hh.ru/employer/2138143,https://hh.ru/
Программист C/С++,ООО НПК ТИМ,"Санкт-Петербург, Площадь Александра Невского 1 и еще 2 ",,,,https://izhevsk.hh.ru/vacancy/37608458?query=C%2B%2B%20Developer,https://izhevsk.hh.ru/employer/1994735,https://hh.ru/
Программист C/С++,ООО Скайтех,"Санкт-Петербург, Площадь Александра Невского 1",100000,,руб,https://izhevsk.hh.ru/vacancy/37713351?query=C%2B%2B%20Developer,https://izhevsk.hh.ru/employer/3547200,https://hh.ru/
Разработчик C++ (Computer Vision), СофтТелематика,"Москва, Савеловская",,,,https://izhevsk.hh.ru/vacancy/37557665?query=C%2B%2B%20Developer,https://izhevsk.hh.ru/employer/1925969,https://hh.ru/
Инженер-программист,ООО ПраймКемикалсГрупп,Мытищи,,85000,руб,https://izhevsk.hh.ru/vacancy/37558757?query=C%2B%2B%20Developer,https://izhevsk.hh.ru/employer/2404032,https://hh.ru/
